Ticker Symbol,For Year,Total Assets,Intangible Assets,Liabilities,Earnings Per Share,Total Revenue,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Total Liabilities,Total Equity,Retained Earnings,Gross Margin,Estimated Shares Outstanding,Book Value,Asset Turnover,Total Debt To Equity,date,open,close,low,high,volume,month,Name,Sector,Industry
FDX,2016,46064e6,0,121e6,6.59,50365e6,150,144,4,6,3228e7,13784e6,18371e6,66,276176024.279,45943e6,1.0933700937825634,2.3418456181079512,2016,162.309998,163.669998,161.100006,163.990005,1504900,04,FedEx Corporation,Transportation,Air Freight/Delivery Services
FFIV,2016,2306323e3,0,120148e3,5.43,1995034e3,153,149,18,27,1121061e3,1185262e3,1185265e3,83,67376611.418,2186175e3,0.8650280121214592,0.9458339168892617,2016,104.940002,105.580002,104.32,105.760002,543300,04,"F5 Networks, Inc.",Technology,Computer Communications Equipment
GIS,2016,217123e5,45386e5,4113e5,2.83,165631e5,79,50,10,16,167821e5,49302e5,126165e5,35,599787985.866,167624e5,0.762844102190924,3.403938988276338,2016,62.900002,64.959999,62.900002,65,7433900,04,"General Mills, Inc.",Consumer Non-Durables,Packaged Foods
GPN,2016,10509952e3,2264708e3,-81506e3,2.05,289815e4,117,117,9,15,7763476e3,2746476e3,1015811e3,60,13252e4,832675e4,0.27575292446625826,2.8267044751164767,2016,64.529999,65.150002,63.990002,65.169998,1353200,04,Global Payments Inc.,Miscellaneous,Business Services
HAR,2016,6054042e3,476284e3,4514e3,NA,6911676e3,159,121,5,8,3601569e3,2452473e3,249057e4,30,NA,5573244e3,1.1416630409898048,1.468545831085602,2016,87.690002,86.75,85.889999,87.690002,1071600,04,Harman International Industries Inc,Consumer Durables,Automotive Aftermarket
HOLX,2016,7317e6,26434e5,808e5,1.18,28327e5,147,117,12,19,51743e5,21427e5,-31382e5,55,280338983.051,45928e5,0.38713953806204726,2.4148504223643066,2016,34.400002,34.599998,34.34,34.82,3816100,04,"Hologic, Inc.",Health Care,Medical Electronics
HP,2016,6832019e3,0,21824e3,-0.54,1624232e3,476,439,3,2,2271094e3,4560925e3,4289807e3,45,105237037.037,6810195e3,0.23773821472100706,0.4979459210576802,2016,57.02,56.630001,55.959999,57.549999,2269200,04,"Helmerich & Payne, Inc.",Energy,Oil & Gas Production
HPE,2016,79679e6,1084e6,637e6,1.84,50123e6,128,120,6,8,48231e6,31448e6,2782e6,29,1717934782.61,77958e6,0.6290616097089572,1.5336746374968202,2016,17.610001,18.4,17.559999,18.545,14849900,04,Hewlett Packard Enterprise Company,Technology,Computer Manufacturing
HPQ,2016,2901e7,0,877e6,1.44,48238e6,98,74,5,7,32899e6,-3889e6,-3498e6,19,1733333333.33,28133e6,1.6628059289900035,-8.459501157109797,2016,12.21,12.26,12.03,12.29,11919300,04,HP Inc.,Technology,Computer Manufacturing
HRB,2016,2857775e3,433885e3,-40344e3,1.5,3038153e3,118,118,12,21,2834672e3,23103e3,40347e3,59,249511333.333,2464234e3,1.0631183350683662,122.69713889971,2016,26.379999,26.23,25.940001,26.42,4317e3,04,"H&R Block, Inc.",Consumer Services,Other Consumer Services
