"","Ticker Symbol","For Year","Total Assets","Intangible Assets","Liabilities","Earnings Per Share","Total Revenue","Current Ratio","Quick Ratio","Profit Margin","Operating Margin","Total Liabilities","Total Equity","Retained Earnings","Gross Margin","Estimated Shares Outstanding","Book Value","Asset Turnover","Total Debt To Equity","date","open","close","low","high","volume","month","Name","Sector","Industry"
"119","AON",2015,2.7164e+10,2.18e+09,-9.76e+08,4.93,1.1682e+10,NA,NA,12,16,2.1058e+10,6.106e+09,4.117e+09,100,280933062.88,2.596e+10,0.430054483875718,3.44873894529971,2015-04-01,95.839996,96.230003,95.32,96.949997,1374000,"04","Aon plc","Finance","Specialty Insurers"
"120","APA",2012,6.0737e+10,0,-1.56e+09,4.95,1.6428e+10,90,73,12,30,2.9406e+10,3.1331e+10,2.0161e+10,81,404242424.242,6.2297e+10,0.270477633073744,0.938559254412563,2012-04-02,100.400002,100.970001,99.690002,102.129997,2528500,"04","Apache Corporation","Energy","Oil & Gas Production"
"121","APA",2013,6.1637e+10,0,8.8e+07,5.53,1.4771e+10,135,116,15,30,2.8241e+10,3.3396e+10,2.2032e+10,80,413743218.807,6.1549e+10,0.239645018414264,0.84564019643071,2013-04-01,77.209999,76.709999,75.699997,77.25,2755400,"04","Apache Corporation","Energy","Oil & Gas Production"
"122","APA",2014,5.5952e+10,0,-6.81e+08,-14.06,1.2691e+10,175,156,40,21,3.0015e+10,2.5937e+10,1.6249e+10,80,359886201.991,5.6633e+10,0.226819416642837,1.15722712726992,2014-04-01,82.790001,83.760002,82.699997,83.82,3550800,"04","Apache Corporation","Energy","Oil & Gas Production"
"123","APA",2015,1.8842e+10,0,-5.07e+08,-61.2,6.383e+09,204,173,369,437,1.6276e+10,2.566e+09,-7.153e+09,68,384444444.444,1.9349e+10,0.338764462371298,6.34294621979735,2015-04-01,60.93,60.630001,60.540001,61.610001,2448600,"04","Apache Corporation","Energy","Oil & Gas Production"
"124","APC",2013,5.5781e+10,5.662e+09,9.98e+08,1.58,1.4581e+10,125,125,5,23,3.3924e+10,2.1857e+10,1.4356e+10,80,506962025.316,4.9121e+10,0.261397249959664,1.55208857574233,2013-04-01,87.160004,86.360001,86.010002,87.949997,2936600,"04","Anadarko Petroleum Corporation","Energy","Oil & Gas Production"
"125","APC",2014,6.0967e+10,6.569e+09,4.457e+09,-3.47,1.847e+10,103,103,9,29,4.1242e+10,1.9725e+10,1.2125e+10,82,504322766.571,4.9941e+10,0.302950776649663,2.09084917617237,2014-04-01,84.879997,86.559998,84.540001,86.580002,4858000,"04","Anadarko Petroleum Corporation","Energy","Oil & Gas Production"
"126","APC",2015,4.6331e+10,6.331e+09,-6.205e+09,-13.18,8.698e+09,95,95,77,101,3.3512e+10,1.2819e+10,4.88e+09,63,507738998.483,4.6205e+10,0.187736073039649,2.61424448084874,2015-04-01,83.760002,83.860001,83.489998,84.959999,4170400,"04","Anadarko Petroleum Corporation","Energy","Oil & Gas Production"
"127","APD",2013,17850100000,717300000,-130300000,4.74,10180400000,107,85,10,13,1.0808e+10,7042100000,9646400000,27,209746835.443,17263100000,0.570327337101753,1.53476945797418,2013-04-01,86.690001,85.509999,85.239997,86.83,1380500,"04","Air Products and Chemicals, Inc.","Basic Industries","Major Chemicals"
"128","APD",2014,17779100000,615800000,-237900000,4.66,1.0439e+10,111,87,9,13,10413300000,7365800000,9993200000,27,212811158.798,17401200000,0.587150080712747,1.4137364576828,2014-04-01,118.929997,119.999995,118.929997,120.009999,845300,"04","Air Products and Chemicals, Inc.","Basic Industries","Major Chemicals"
"129","APD",2015,17334500000,508300000,156200000,5.95,9894900000,77,59,13,17,10085500000,7.249e+09,10580400000,30,214773109.244,1.667e+10,0.570821194727278,1.39129535108291,2015-04-01,150.890003,150.089991,149.339991,151.819993,1523500,"04","Air Products and Chemicals, Inc.","Basic Industries","Major Chemicals"
